Company,Street,City,State,Zip,EstNumber,GrantDate
el zipote foods,1111 Washinton Blvd.,Montebello,CA,90640,P45265,06/09/2017
el-rey meat,6190 Bermuda Rd.,St. Louis,MO,63135,M2958,10/31/2018
el-rey meat,6190 Bermuda Rd.,St. Louis,MO,63135,P2958,10/31/2018
el-rey meat,6190 Bermuda Rd.,St. Louis,MO,63135,V2958,10/31/2018
elaboracion felo,Ave. Yumet #112,Aguadilla,PR,00603,M7359,04/03/1981
elaboracion felo,Ave. Yumet #112,Aguadilla,PR,00603,P7359,04/03/1981
elaboraciones fiesta,Rd. 417 Km 6.1,Aguada,PR,00602,M21357,08/14/2002
elaboraciones fiesta,Rd. 417 Km 6.1,Aguada,PR,00602,P21357,08/14/2002
elburn market,250 S. Main St.,Elburn,IL,60119,M47167,09/25/2020
elburn market,250 S. Main St.,Elburn,IL,60119,P47167,09/25/2020
eldridge tamales,19571 Hwy 33 South,Augusta,AR,72006,M51565,11/07/2018
elevation brands,190 Fountain Street,Framingham,MA,01702,M19011,02/04/2019
elevation brands,190 Fountain Street,Framingham,MA,01702,P19011,02/04/2019
elevation foods,1600 Harris Road,Knoxville,TN,37924,M7413,06/12/2019
elevation foods,1600 Harris Road,Knoxville,TN,37924,P384,06/12/2019
elevation foods,1600 Harris Road,Knoxville,TN,37924,V7413,06/12/2019
elizabeth locker plant,366 Grant St.,Elizabeth,CO,80107,M6454,01/31/1996
elizabeth locker plant,366 Grant St.,Elizabeth,CO,80107,P4896,01/31/1996
elizabeth locker plant,366 Grant St.,Elizabeth,CO,80107,V6454,01/31/1996
elk county processing & provisions ltd,6482 Grant Road,Ridgway,PA,15853,M34807,08/17/2016
elk provision,1260 Clinton Street,Buffalo,NY,14206,M9515,08/11/2021
elk provision,1260 Clinton Street,Buffalo,NY,14206,P9515,08/11/2021
elk river custom meats,2464 Downhill Dr,Steamboat Springs,CO,80487,M46669,04/11/2019
elkhorn valley packing,101 N. Central,Harper,KS,67058,M19549,04/08/2011
elkhorn valley packing,1509 East 16th Street,Wellington,KS,67152,M19549A,04/14/2011
elkton locker and grocery,127 Elk Street,Elkton,SD,57026,M34384,07/17/2014
elkton locker and grocery,127 Elk Street,Elkton,SD,57026,V34384,07/17/2014
ellengee market,5120 N. Milwaukee Ave.,Chicago,IL,60630,M33871,04/15/2009
ellengee market,5120 N. Milwaukee Ave.,Chicago,IL,60630,P33871,04/15/2009
ellio's pizza,11 Gregg Street,Lodi,NJ,07644,M4264,04/22/2021
ellio's pizza,11 Gregg Street,Lodi,NJ,07644,P4264,04/22/2021
ellsworth foods,1510 Eastman Drive,Tifton,GA,31793,M18667,04/09/2004
ellsworth foods,1510 Eastman Drive,Tifton,GA,31793,P18667,04/09/2004
elmwood locker service,214 South Magnolia Street,Elmwood,IL,61529,M344,04/01/2019
elore enterprises,1055 NW 159 Drive,Miami Gardens,FL,33169,M12648,02/11/2019
elore enterprises,1167 NW 159 Drive,Miami Gardens,FL,33169,I683,02/02/2017
elysian fields farms,844 Craynes Run Road,Waynesburg,PA,15370,M20780,12/20/2004
elysian fields farms,176 W Herring Rd.,Masontown,WV,26542,M20780A,06/08/2018
embutidos don frank,Calle 4 B #9,Carolina,PR,00982,M6524,08/29/2012
embutidos don frank,Calle 4 B #9,Carolina,PR,00982,P6524,08/29/2012
embutidos el compay,"Urbanizacion Villa Madrid, Calle #17 P-10",Coamo,PR,00769,M31870,06/10/2004
embutidos el compay,"Urbanizacion Villa Madrid, Calle #17 P-10",Coamo,PR,00769,P31870,06/10/2004
embutidos fanguito,1423 NW 23rd Street,Miami,FL,33142,M45659,07/23/2015
embutidos fanguito,1423 NW 23rd Street,Miami,FL,33142,P45659,07/23/2015
embutidos monte de oro,Bo. Bayamon Carr. 787 Km1.0,Cidra,PR,00739,M44995,09/11/2012
embutidos monte de oro,Bo. Bayamon Carr. 787 Km1.0,Cidra,PR,00739,P44995,09/11/2012
embutidos vallecrespo,HC-05 Buzon 52106,Hatillo,PR,00659,M21790,10/25/2001
embutidos vallecrespo,HC-05 Buzon 52106,Hatillo,PR,00659,P21790,10/25/2001
emerson distributing,986 Cherry Street,Medford,OR,97501,M17635,12/18/2003
emerson distributing,986 Cherry Street,Medford,OR,97501,P17635,12/18/2003
emil's pizza,1020 South 12th Street,Watertown,WI,53094,M39952,08/13/2015
emil's pizza,1020 South 12th Street,Watertown,WI,53094,P39952,08/13/2015
emma-leigh &,80 Sharp Street,Hingham,MA,02043,M47708,06/07/2021
emma-leigh &,80 Sharp Street,Hingham,MA,02043,P47708,06/07/2021
emmaus foods,661 Railroad Avenue,Albertville,AL,35951,M38494,04/23/2018
emmaus foods,661 Railroad Avenue,Albertville,AL,35951,P32145,04/23/2018
emmaus foods,661 Railroad Avenue,Albertville,AL,35951,V32145,04/23/2018
empacadora y procesadora del sur,"Salida 76, Carretera 153",Coamo,PR,00769,M44976,04/16/2018
empacadora y procesadora del sur,"Salida 76, Carretera 153",Coamo,PR,00769,P44976,04/16/2018
empanadas 305,221 West 27th Street,Hialeah,FL,33010,M45609,04/20/2015
empanadas 305,221 West 27th Street,Hialeah,FL,33010,P45609,04/20/2015
empanadas quintero,1951 N.W. 141st,Opa-Locka,FL,33054,M19950,01/06/2009
empanadas quintero,1951 N.W. 141st,Opa-Locka,FL,33054,P19950,01/06/2009
empire custom processing,430 NYS Route 8,Bridgewater,NY,13313,M47031,07/09/2021
empire packing lp,1837 Harbor Drive,Memphis,TN,38113,M7995,08/22/2019
empire packing lp,1837 Harbor Drive,Memphis,TN,38113,P7995,08/22/2019
empirical foods,360 164th Street,So. Sioux City,NE,68776,M19872,04/19/2019
empirical foods,360 164th Street,So. Sioux City,NE,68776,P19872,04/19/2019
empirical foods,360 164th Street,So. Sioux City,NE,68776,V19872,04/19/2019
empirical foods,West Highway 50,Holcomb,KS,67851,M13465,04/17/2019
emuna,"13020 Yukon Avenue, Unit E",Hawthorne,CA,90250,M30959,08/28/2020
emuna,"13020 Yukon Avenue, Unit E",Hawthorne,CA,90250,P30959,08/28/2020
encore sausage,3137 Pennsy Drive,Hyattsville,MD,20785,M46966,08/19/2019
encore sausage,3137 Pennsy Drive,Hyattsville,MD,20785,P46966,08/19/2019
encore seafoods,475 Nugget Ave.,Sparks,NV,89431,M51279,08/07/2017
encore seafoods,475 Nugget Ave.,Sparks,NV,89431,P51279,08/07/2017
enslin & son packing,2501 Glendale Avenue,Hattiesburg,MS,39401,M31806,07/29/2005
enslin & son packing,2501 Glendale Avenue,Hattiesburg,MS,39401,P31806,07/29/2005
epicurean catering,4650 West Post Road,Las Vegas,NV,89118,M45269,11/22/2017
epicurean catering,4650 West Post Road,Las Vegas,NV,89118,P45269,11/22/2017
erie bone broth,2203 Superior Ave.,Cleveland,OH,44116,M46553,06/17/2020
erie bone broth,2203 Superior Ave.,Cleveland,OH,44116,P46553,06/17/2020
erie bone broth,2203 Superior Ave.,Cleveland,OH,44116,V46553,06/17/2020
erika lynch,151-1 Mad River Canoe Road,Waitsfield,VT,05673,M44798,01/14/2020
erika lynch,151-1 Mad River Canoe Road,Waitsfield,VT,05673,P44798,01/14/2020
ernst hotel supply,2888 Riopelle,Detroit,MI,48207,M10251,08/23/2005
ernst hotel supply,2888 Riopelle,Detroit,MI,48207,P10251,08/23/2005
ernst hotel supply,2888 Riopelle,Detroit,MI,48207,V10251,08/23/2005
errol's cajun foods,6801 Highway 1001,Belle Rose,LA,70341,M31536,10/01/2007
errol's cajun foods,6801 Highway 1001,Belle Rose,LA,70341,P31536,10/01/2007
eskimo cold storage,3001 Athens Highway,Gainesville,GA,30507,V34244,03/29/2007
esperanto,357 Milton Avenue,Ballston Spa,NY,12020,P46982,11/08/2021
espey's meat market,319 Espey Market Lane,Scottdale,PA,15683,M9482,07/11/2012
espi's sausage and tocino,29 S. Hanford St.,Seattle,WA,98134,M17524,06/27/2017
espi's sausage and tocino,29 S. Hanford St.,Seattle,WA,98134,P17524,06/27/2017
esposito's sausage,354 West 38th St,New York,NY,10018,M4329,08/06/2020
esposito's sausage,354 West 38th St,New York,NY,10018,P4329,08/06/2020
esquivel's forwarding agency,9101 San Mateo Drive,Laredo,TX,78045,V46284,12/01/2017
estherville foods,105 N. 4th St.,Estherville,IA,51334,G496,02/11/2013
ethos seafood group,6800 Santa Fe Drive,Hodgkins,IL,60525,M47230,03/26/2021
ethos seafood group,6800 Santa Fe Drive,Hodgkins,IL,60525,V47230,03/26/2021
eugene freezing & storage,310 Seneca Road,Eugene,OR,97402,V20995,06/25/2010
eugene kitchen,2137 Manchester Street,Atlanta,GA,30324,M46768,10/08/2020
eugene kitchen,2137 Manchester Street,Atlanta,GA,30324,P46768,10/08/2020
eureka locker,110 4-H Park Rd.,Eureka,IL,61530,M20856,05/18/2016
eureka locker,110 4-H Park Rd.,Eureka,IL,61530,V20856,05/18/2016
eureka sausage,6835 N. Tujunga Ave.,North Hollywood,CA,91605,M6018,03/16/1998
eureka sausage,6835 N. Tujunga Ave.,North Hollywood,CA,91605,P6018,03/16/1998
euro foods d,2376 State Route 940 Hwy,Freeland,PA,18224,M4010,09/28/2021
euro foods d,2376 State Route 940 Hwy,Freeland,PA,18224,P4010,09/28/2021
euro foods d,2376 State Route 940 Hwy,Freeland,PA,18224,V4010,09/28/2021
euro foods d,718  Hazle Street,Freeland,PA,18224,M4010A,10/12/2017
eurocaribe packing,Calle A Lote #23 Cabo Caribe Industrial Park,Vega Baja,PR,00694,M6717,09/23/2020
eurocaribe packing,Calle A Lote #23 Cabo Caribe Industrial Park,Vega Baja,PR,00694,P6717,09/23/2020
european american sausage,1242 N. American Street,Philadelphia,PA,19122,M9434,04/02/2012
european american sausage,1242 N. American Street,Philadelphia,PA,19122,P9434,04/02/2012
european meat emporium,849 kings Highway East,Farifield,CT,06825,M34388,04/05/2018
european meat emporium,849 kings Highway East,Farifield,CT,06825,P34388,04/05/2018
eurostyle deli,4861 Oakton Avenue,Skokie,IL,60077,M21611,02/01/2002
eurostyle deli,4861 Oakton Avenue,Skokie,IL,60077,P21611,02/01/2002
evangel international foods,2727 Westside Dr.,Pasadena,TX,77502,M51245,09/21/2018
evangel international foods,2727 Westside Dr.,Pasadena,TX,77502,P51245,09/21/2018
evans food group,15430 E. Proctor Avenue,City of Industry,CA,91744,M6030,10/10/2019
evans food group,15430 E. Proctor Avenue,City of Industry,CA,91744,P6030,10/10/2019
evans food group,615 N. Great SW Parkway,Arlington,TX,76011,M7293,12/12/2019
evans food group,2240 6th Street,Portsmouth,OH,45662,M1001,08/19/2019
evans food group,4118 S. Halsted Street,Chicago,IL,60609,M1673,08/19/2019
evans meats,617 21st Avenue West,Birmingham,AL,35204,M20516,07/29/1998
evans meats,617 21st Avenue West,Birmingham,AL,35204,P20516,07/29/1998
ever better eating,31 Barnstead Road,Pittsfield,NH,03263,M48132,10/22/2021
ever better eating,31 Barnstead Road,Pittsfield,NH,03263,P48132,10/22/2021
everest meats,1617 East 25th Street,Los Angeles,CA,90011,M31639,03/11/2004
everest meats,1617 East 25th Street,Los Angeles,CA,90011,P31639,03/11/2004
evergood sausage,1389 Underwood Avenue,San Francisco,CA,94124,M6068,10/23/1990
evergood sausage,1389 Underwood Avenue,San Francisco,CA,94124,P6068,10/23/1990
evergreen meats,306 S. Valley Street,Port Angeles,WA,98362,M6437,03/02/2000
evergreen meats,306 S. Valley Street,Port Angeles,WA,98362,P6437,03/02/2000
evergreen meats,306 S. Valley Street,Port Angeles,WA,98362,V6437,03/02/2000
ex-cel corned beef,2701 N. Harlem Ave.,Chicago,IL,60707,M34499,07/17/2018
exact packaging,2500 N. 42nd St.,Quincy,IL,62305,V47044,
excellent meats,"1889 Rt 9, Bldg 9, Unit 30",Toms River,NJ,08755,M9949,03/26/2003
excellent meats,"1889 Rt 9, Bldg 9, Unit 30",Toms River,NJ,08755,P9949,03/26/2003
exceptional foods,9020 Pennsauken Highway,Pennsauken TWP,NJ,08110,M9587,08/09/2017
exceptional foods,9020 Pennsauken Highway,Pennsauken TWP,NJ,08110,P9587,08/09/2017
exel,9333 Hermosa Avenue,Rancho Cucomonga,CA,91730,V51160,06/25/2013
exel,5522 Little Richmond Rd,Dayton,OH,45426,M21602,02/04/2008
exel,5522 Little Richmond Rd,Dayton,OH,45426,V21602,02/04/2008
exel,1000 Campbell Drive,Findlay,OH,45840,V46678,07/16/2019
exel,6710 Oakley Industrial Blvd.,Union City,GA,30291,V44143,09/01/2011
express transfer and trucking,8192 National Highway,Pennsauken,NJ,08110,M46833,10/08/2015
express transfer and trucking,8192 National Highway,Pennsauken,NJ,08110,P46833,10/08/2015
express transfer and trucking,8192 National Highway,Pennsauken,NJ,08110,V46833,10/08/2015
ezzo sausage,683 Manor Park Dr.,Columbus,OH,43228,M1838A,09/20/2017
f & c & r investment,"Road 175 KM 27.2, Lot 34 Urb. Industrial Rio Canas",Caguas,PR,00725,I30,10/19/2009
f & c seafood,598 St. Ann Street,Raceland,LA,70394,M47030,07/07/2021
f & m sausage,2000 Santa Fe Drive,Pueblo,CO,81006,M6456,06/08/1998
f and f pay lakes and market,1400 Scotts Bridge Road,Calhoun,KY,42327,M45770,01/13/2016
f&s produce,500 W. Elmer Road,Vineland,NJ,08360,M39897,11/08/2018
f&s produce,500 W. Elmer Road,Vineland,NJ,08360,P39897,11/08/2018
f-16 custom cuts,355 Food Center Drive,Bronx,NY,10474,M45626,03/01/2017
f-16 custom cuts,355 Food Center Drive,Bronx,NY,10474,P45626,03/01/2017
fb purnell sausage,6931 Shelbyville Road,Simpsonville,KY,40067,M7464,06/25/2021
fb purnell sausage,6931 Shelbyville Road,Simpsonville,KY,40067,P7464,06/25/2021
f1 foods,255 Walnut St,West Bridgewater,MA,02379,M977,09/03/2013
f1 foods,255 Walnut St,West Bridgewater,MA,02379,P977,09/03/2013
family kitchen ravioli,186 GOLD MINE ROAD,FLANDERS,NJ,07876,M45899,06/13/2016
family kitchen ravioli,186 GOLD MINE ROAD,FLANDERS,NJ,07876,P45899,06/13/2016
fbs hudson,9049 Hwy 789,Hudson,WY,82515,M47172,03/09/2020
fch enterprises,94-1068 Ka Uka Blvd,Waipahu,HI,96797,M19959,06/29/2011
fch enterprises,94-1068 Ka Uka Blvd,Waipahu,HI,96797,P19959,06/29/2011
fed-rick veal,125 SUTTON STREET,PROVIDENCE,RI,02903,M9387,08/09/2001
fed-rick veal,125 SUTTON STREET,PROVIDENCE,RI,02903,P9387,08/09/2001
fkc,3011 Stanton Ave.,Cincinnati,OH,45206,M1483,06/23/2016
fkc,3011 Stanton Ave.,Cincinnati,OH,45206,P18320,06/23/2016
flying w farms,1721 NORTHWESTERN TURNPIKE,BURLINGTON,WV,26710,M44829,04/05/2016
flying w farms,2939 NORTHWESTERN TURNPIKE,BURLINGTON,WV,26710,M44830,04/20/2016
fm meat products partnership,19798 NE Hwy. 315,Fort McCoy,FL,32134,M45261,03/26/2018
forem facility management,2-44 CORNELIA ST.,NEWARK,NJ,07105,V19992,03/21/2016
fpl food,1301 New Savannah Rd.,Augusta,GA,30901,M332,11/01/2004
fpl food,121 Roseway Drive,Thomasville,GA,31792,M332R,08/25/2020
fpl food,131 Roseway Drive,Thomasville,GA,31792,M332T,07/12/2012
fpl food,131 Roseway Drive,Thomasville,GA,31792,P332T,07/12/2012
freed,2209 East Erwin,Tyler,TX,75702,M2211,03/17/2021
freed,2209 East Erwin,Tyler,TX,75702,P2211,03/17/2021
fw logistics,2369 Spottswood Avenue,Memphis,TN,38114,V47269,05/29/2020
fw logistics- montezuma cold facility,301 Airport Road,Montezuma,GA,31063,M47423,03/22/2021
fw logistics- montezuma cold facility,301 Airport Road,Montezuma,GA,31063,P47423,03/22/2021
fw logistics- montezuma cold facility,301 Airport Road,Montezuma,GA,31063,V47423,03/22/2021
fa lu cioli,553 Lehigh Avenue,Union,NJ,07083,M40255,06/15/2012
fabrique delices,1610 Delta Court,Hayward,CA,94544,M6206,01/14/2021
fabrique delices,1610 Delta Court,Hayward,CA,94544,P6206,01/14/2021
fair market,1 Mitchell Rd.,Montgomery City,MO,63361,M34595,05/13/2020
fair market,1 Mitchell Rd.,Montgomery City,MO,63361,P34595,05/13/2020
fair market,1 Mitchell Rd.,Montgomery City,MO,63361,G34595,05/13/2020
fair market,1 Mitchell Rd.,Montgomery City,MO,63361,V34595,05/13/2020
fair oaks farms west,7600 95th Street,Pleasant Prairie,WI,53158,M17479,11/20/2020
fair oaks farms west,7600 95th Street,Pleasant Prairie,WI,53158,P17479,11/20/2020
fair oaks farms west,7600 95th Street,Pleasant Prairie,WI,53158,V17479,11/20/2020
fair oaks farms west,8922 - 102nd Street,Pleasant Prairie,WI,53158,M17479T,07/15/2019
fair oaks farms west,8922 - 102nd Street,Pleasant Prairie,WI,53158,P17479T,07/15/2019
fair oaks farms west,8922 - 102nd Street,Pleasant Prairie,WI,53158,V17479T,07/15/2019
fairbury steaks,504 D Street,Fairbury,NE,68352,M5726,09/11/2015
fairbury steaks,504 D Street,Fairbury,NE,68352,P5726,09/11/2015
fairbury steaks,504 D Street,Fairbury,NE,68352,V5726,09/11/2015
fairmont foods,905 East Fourth Street,Fairmont,MN,56031,M2WM,03/31/2015
fairmont foods,905 East Fourth Street,Fairmont,MN,56031,P337,03/31/2015
fairmount lockers,102 Main Street,Fairmount,ND,58030,M7615,09/27/2001
fairmount lockers,102 Main Street,Fairmount,ND,58030,P7615,09/27/2001
fairmount lockers,102 Main Street,Fairmount,ND,58030,V7615,09/27/2001
fairway packing,1313 Erskine,Detroit,MI,48207,M17839,04/11/2002
fairway packing,1313 Erskine,Detroit,MI,48207,P17839,04/11/2002
fallon livestock processing,1100 Allen Rd.,Fallon,NV,89406,M47488,02/09/2021
family brands int,1001 Elm Hill Road,Lenoir City,TN,37771,M6515,12/13/2016
family brands int,1001 Elm Hill Road,Lenoir City,TN,37771,P6515,12/13/2016
family farms,458 Canal Street,Mondovi,WI,54755,M2925,06/04/2021
family farms,458 Canal Street,Mondovi,WI,54755,P2925,06/04/2021
family food products,1271 Ford Road,Bensalem,PA,19020,M4524,09/23/2005
family food products,1271 Ford Road,Bensalem,PA,19020,P4524,09/23/2005
family fresh pack,110-112 North Pratt Road,Monticello,WI,53570,M46210,10/25/2018
family loompya,2525 Southport Way,National City,CA,91950,M9251,02/23/1999
family loompya,2525 Southport Way,National City,CA,91950,P9251,02/23/1999
family loompya,2525 Southport Way,National City,CA,91950,V9251,02/23/1999
family traditions meat,405 Sherman Ave,Ackley,IA,50601,M46538,03/19/2020
family traditions meat,405 Sherman Ave,Ackley,IA,50601,P46538,03/19/2020
family traditions meat,405 Sherman Ave,Ackley,IA,50601,V46538,03/19/2020
famous chili,1421 North 7th Street,Fort Smith,AR,72901,M10647,11/22/2004
famous chili,1421 North 7th Street,Fort Smith,AR,72901,P10647,11/22/2004
famous natchitoches la meat pie,1414 Industrial Drive,Coushatta,LA,71019,M2389,04/24/2020
famous natchitoches la meat pie,1414 Industrial Drive,Coushatta,LA,71019,P2389,04/24/2020
fancy farm's butcher block,21 Stahr Road,Fancy Farm,KY,42039,M73A,04/16/2014
fancy farm's butcher block,21 Stahr Road,Fancy Farm,KY,42039,P73A,04/16/2014
farbest foods,4689 S. 400 West,Huntingburg,IN,47542,P7769,02/18/2010
farbest foods,4900 S. 400 West,Huntingburg,IN,47542,P7769A,12/22/2006
farbest foods,4900 S. 400 West,Huntingburg,IN,47542,V7769A,12/22/2006
farbest foods,3672 S. Keller Rd.,Vincennes,IN,47591,P45131,02/25/2015
fargo packing,307 East Main,West Fargo,ND,58078,M7610,01/07/2011
fargo packing,307 East Main,West Fargo,ND,58078,P7610,01/07/2011
fargo packing,307 East Main,West Fargo,ND,58078,V7610,01/07/2011
faribault foods,3401 Park Ave,Faribault,MN,55057,M18826A,08/09/2019
faribault foods,3401 Park Ave,Faribault,MN,55057,P18826A,08/09/2019
farm 2 table meats,2482 MARYLAND HIGHWAY,Oakland,MD,21550,M19252,05/24/2021
farm 2 table meats,2482 MARYLAND HIGHWAY,Oakland,MD,21550,P19252,05/24/2021
farm boy meats,2761 N. Kentucky Ave.,Evansville,IN,47711,M1705,04/04/2003
farm boy meats,2761 N. Kentucky Ave.,Evansville,IN,47711,P1705,04/04/2003
farm brew,6810 Caratoke Highway,Grandy,NC,27939,M34737,08/19/2010
farm brew,6810 Caratoke Highway,Grandy,NC,27939,V34737,08/19/2010
farm field table,1030 Woodward Heights,Ferndale,MI,48220,M48167,03/14/2017
farm field table,1030 Woodward Heights,Ferndale,MI,48220,P48167,03/14/2017
farm fresh food suppliers,10571 Hwy 16,Amite,LA,70422,M7217,08/20/2021
farm fresh food suppliers,10571 Hwy 16,Amite,LA,70422,P7217,08/20/2021
farm fresh foods,5016 Grimes Drive,Guntersville,AL,35976,M45565,09/04/2019
farm fresh foods,5016 Grimes Drive,Guntersville,AL,35976,P45565,09/04/2019
farm to table processing,3280 Dutch Valley Rd.,Clinton,TN,37922,M53865,08/10/2021
farmer john egg,2416 N. Street,Bakersfield,CA,93301,G1633,07/11/1988
farmer jones factory,400 South 20th St.,Waco,TX,76706,M13054B,10/06/2020
farmer jones factory,400 South 20th St.,Waco,TX,76706,P13054B,10/06/2020
farmer's pride,2181 Highpoint Rd.,Bowdon,GA,30108,M48195,03/17/2021
farmers feeding utah,984 W 20th St,West Haven,UT,84401,M20017,11/02/2006
farmers feeding utah,984 W 20th St,West Haven,UT,84401,P20017,11/02/2006
farmers pride,154 W. Main Street,Fredericksburg,PA,17026,P1304,04/16/2019
farmers pride,2929 US Route 22,Fredericksburg,PA,17026,P1304A,04/26/2016
farmers pride,520 Chestnut Hill Road,Fredericksburg,PA,17026,P1304B,08/16/2021
farmers produce,2359 Crottlestown Road,Chambersburg,PA,17202,M8364,02/27/2018
farmers produce,2359 Crottlestown Road,Chambersburg,PA,17202,P8364,02/27/2018
farmers union industries,2421 9th Avenue South,Estherville,IA,51334,M21898,09/15/2017
farmers union industries,2421 9th Avenue South,Estherville,IA,51334,V21898,09/15/2017
farmington meat,7419 W. Franklin St.,Forest Park,IL,60130,M1993,08/11/2014
farmington meat,7419 W. Franklin St.,Forest Park,IL,60130,P1993,08/11/2014
farmview market,2610 Eattonton Highway,Madison,GA,30650,M46079,12/11/2019
farview farms meat,6325 NW Topeka Blvd,Topeka,KS,66617,M39942,06/09/2017
farview farms meat,6325 NW Topeka Blvd,Topeka,KS,66617,P39942,06/09/2017
farview farms meat,6325 NW Topeka Blvd,Topeka,KS,66617,V39942,06/09/2017
fatback,130 Daniels Chapel road,Eva,AL,35621,M44819,02/25/2021
fatback,130 Daniels Chapel road,Eva,AL,35621,P44819,02/25/2021
fathead peppers,405 East Walnut Street,North Wales,PA,19454,M34611,03/09/2009
fathers country hams,6313 State Route 81,Bremen,KY,42325,M2650,01/30/2017
fatman's beef jerky,80 Industrial Park Road,Hagerman,NM,88232,M34271,03/14/2013
fatman's beef jerky,80 Industrial Park Road,Hagerman,NM,88232,P34271,03/14/2013
fauquier's finest custom meat processing,11746 AG Industrial Drive,Bealeton,VA,22712,M33940,03/30/2010
favazza specialty foods,141 Millwell Drive,Maryland Heights,MO,63043,M45449,09/03/2014
favazza specialty foods,141 Millwell Drive,Maryland Heights,MO,63043,P45449,09/03/2014
favpep,1463 NW 97th Ave.,Miami,FL,33172,V1334,12/05/2012
fayette packing,16620 Highway 196,Eads,TN,38028,M6555,04/03/2019
fayette packing,16620 Highway 196,Eads,TN,38028,P34794,04/03/2019
fayman food group,600 Industrial Road,Madill,OK,73446,M47762,09/20/2021
fayman food group,600 Industrial Road,Madill,OK,73446,P47762,09/20/2021
fayman food group,600 Industrial Road,Madill,OK,73446,V47762,09/20/2021
felbro food products,200 West Carob St.,Compton,CA,90220,M27273A,08/22/2018
felbro food products,200 West Carob St.,Compton,CA,90220,P27273A,08/22/2018
fells point,2730 Wilmarco Ave.,Baltimore,MD,21223,M18678,09/12/2017
fells point,2730 Wilmarco Ave.,Baltimore,MD,21223,P18678,09/12/2017
fells point,2730 Wilmarco Ave.,Baltimore,MD,21223,V18678,09/12/2017
fernandez meat processing,100 Henderson Bend Rd.,Calhoun,GA,30701,M1050,11/10/2021
fernandez meat processing,100 Henderson Bend Rd.,Calhoun,GA,30701,P1050,11/10/2021
fernandez sao jorge linquica,4220 Commercial Drive,Tracy,CA,95304,M5895,11/12/2006
fernandez sao jorge linquica,4220 Commercial Drive,Tracy,CA,95304,P5895,11/12/2006
festive foods,7811 County Road D,Waupaca,WI,54981,M15877,03/07/2008
festive foods,7811 County Road D,Waupaca,WI,54981,P15877,03/07/2008
fieldale farms,2115 Industrial Blvd.,Cornelia,GA,30531,P1250,02/11/2015
fieldale farms,5163 Thompson Bridge Road,Murrayville,GA,30564,P1257,05/22/2015
fieldale farms,1540 Monroe Drive,Gainesville,GA,30507,M12650,08/18/2008
fieldale farms,1540 Monroe Drive,Gainesville,GA,30507,P12650,08/18/2008
fieldsource food systems,270 North Orange Street,Brea,CA,92821,M45141,04/02/2013
fieldsource food systems,270 North Orange Street,Brea,CA,92821,P45141,04/02/2013
fieldstone meats of alabama,282 Fieldstone Rd,Oneonta,AL,35121,M2691,12/21/2021
fifty four eleven store 2,2045 W. North Ave.,Chicago,IL,60647,M45332,10/21/2015
fifty four eleven store 2,2045 W. North Ave.,Chicago,IL,60647,P45332,10/21/2015
filet of chicken,146 Forest Parkway,Forest Park,GA,30297,P19871,06/23/2014
fillmore beef,5812 142nd Avenue,Holland,MI,49423,M10036,04/24/2012
finchville farms country ham,5157 Taylorsville Rd.,Finchville,KY,40022,M7443,02/28/2008
fine foods of south florida,2505 John P. Lyons,Pembroke Pines,FL,33009,M38487,06/06/2017
fine foods of south florida,2505 John P. Lyons,Pembroke Pines,FL,33009,P38487,06/06/2017
finger food products,6400 Inducon Drive West,Sanborn,NY,14132,M7812,09/18/2018
finger food products,6400 Inducon Drive West,Sanborn,NY,14132,P7812,09/18/2018
finger food products,6400 Inducon Drive West,Sanborn,NY,14132,V7812,09/18/2018
finger lakes canners,3691 Rt. 14A,Penn Yan,NY,14527,M48133,04/04/2018
finger lakes canners,3691 Rt. 14A,Penn Yan,NY,14527,P48133,04/04/2018
fiore di pasta,4776 E. Jensen Avenue,Fresno,CA,93725,M19439,08/15/2000
fiore di pasta,4776 E. Jensen Avenue,Fresno,CA,93725,P19439,08/15/2000
fiore food service,12120 Frankstown Road,Penn Hills,PA,15235,M17615,03/26/2012
fiore food service,12120 Frankstown Road,Penn Hills,PA,15235,P17615,03/26/2012
fiore food service,12120 Frankstown Road,Penn Hills,PA,15235,V17615,03/26/2012
fiori-bruna pasta products,5340 NW 163rd St.,Hialeah,FL,33014,M34510,08/03/2012
fiori-bruna pasta products,5340 NW 163rd St.,Hialeah,FL,33014,P34510,08/03/2012
firetruck bar-b-que,229 Jefferson St,Alexander City,AL,35010,M45662,07/24/2015
firmenich,100 North Valley Street,New Ulm,MN,56073,M33866,09/13/2017
firmenich,100 North Valley Street,New Ulm,MN,56073,P33866,09/13/2017
firmenich,100 North Valley Street,New Ulm,MN,56073,V33866,09/13/2017
first choice marine supply,120 N. 20th Street,Tampa,FL,33605,V34545,02/10/2009
first empanada factory,601 West 2675 North,Cedar City,UT,84721,M46755,06/04/2019
first empanada factory,601 West 2675 North,Cedar City,UT,84721,P46755,06/04/2019
first street cafe,116 W. First Street,Phoenix,OR,97535,M46435,09/03/2014
first street cafe,116 W. First Street,Phoenix,OR,97535,P46435,09/03/2014
fischer & miller,85 Westmoreland Ave,White Plains,NY,10606,M4620,11/04/1993
fischer & miller,85 Westmoreland Ave,White Plains,NY,10606,P4620,11/04/1993
fischer meats,85 Front Street N,Issaquah,WA,98027,M6424,06/20/1994
